,en,ar,bn,fi,id,ko,ru,sw,te,avg
Zero-shot mBERT,77.8 / 69.8,60.6 / 45.1,59.5 / 47.8,60.6 / 50.1,63.0 / 50.6,47.9 / 39.5,65.3 / 47.3,61.0 / 49.5,48.9 / 41.4,60.5 / 49.0
Zero-shot XLM-R,75.2 / 65.9,66.7 / 52.8,67.5 / 51.3,72.6 / 62.3,75.8 / 61.6,62.6 / 53.6,67.6 / 48.9,68.8 / 59.1,74.6 / 58.6,70.2 / 57.1
Zero-shot XLM-R Large,81.4 / 70.9,78.2 / 64.1,75.3 / 60.2,79.8 / 68.5,81.7 / 68.7,72.9 / 62.0,73.1 / 52.6,81.6 / 71.9,80.8 / 67.1,78.3 / 65.1
Translate-test BERT,,67.2 / 49.8,76.6 / 64.1,71.2 / 57.5,74.2 / 60.3,70.1 / 58.9,71.9 / 55.5,76.0 / 63.8,63.5 / 51.1,71.3 / 57.6
Translate-test BERT Large,,69.8 / 52.2,79.0 / 64.1,76.8 / 64.2,76.0 / 62.4,73.8 / 63.5,75.3 / 60.1,80.9 / 69.8,79.7 / 66.2,76.4 / 62.8
Translate-test RoBERTa,,66.9 / 47.6,72.4 / 57.5,74.3 / 60.4,74.4 / 60.9,70.3 / 57.4,71.6 / 55.1,78.6 / 67.0,69.2 / 55.5,72.2 / 57.7
Translate-test RoBERTa Large,,66.9 / 48.1,78.1 / 63.0,75.4 / 60.6,73.0 / 56.8,73.2 / 61.6,74.3 / 58.1,80.2 / 69.6,78.0 / 63.2,74.9 / 60.1
Translate-test mBERT,,66.7 / 48.9,70.4 / 56.4,73.2 / 61.6,72.9 / 59.1,71.9 / 60.3,72.0 / 55.5,79.8 / 68.4,66.9 / 55.0,71.7 / 58.2
Translate-test XLM-R,,63.6 / 46.4,72.4 / 60.8,69.6 / 56.9,71.2 / 58.3,69.6 / 56.2,70.8 / 55.1,78.8 / 68.9,59.4 / 46.8,69.4 / 56.2
Translate-test XLM-R Large,,68.6 / 52.5,73.3 / 58.0,75.2 / 61.3,75.5 / 62.9,68.5 / 56.7,73.8 / 58.7,80.2 / 69.5,76.6 / 61.8,74.0 / 60.2
Translate-train es XLM-R,71.8 / 59.1,68.2 / 52.1,63.6 / 44.2,71.2 / 56.3,73.1 / 57.4,53.8 / 40.6,67.2 / 43.6,67.2 / 55.9,71.7 / 54.4,67.5 / 51.5
Translate-train de XLM-R,73.6 / 63.2,66.0 / 50.2,64.7 / 49.6,72.4 / 60.1,72.4 / 60.2,58.2 / 44.9,68.2 / 51.6,72.1 / 63.5,72.8 / 53.8,68.9 / 55.2
Fine-tuning mBERT,74.7 / 63.4,81.3 / 68.1,65.3 / 54.0,79.6 / 69.2,81.9 / 70.4,63.0 / 52.9,71.2 / 60.8,81.5 / 75.2,80.4 / 66.8,75.4 / 64.5
Data-augmentation mBERT,84.2 / 74.1,86.4 / 74.7,77.6 / 65.5,84.2 / 74.2,88.5 / 80.2,75.2 / 67.4,81.0 / 70.1,85.5 / 79.8,84.8 / 71.6,83.0 / 73.0
